Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.59283	Src2	0	203	LastDelay	0.56283	562830	1	1
2.59283	Src2	0	203	FullDelay	0.56283	562830	1	1
2.59406	Src2	0	182	LastDelay	0.774061	774061	1	1
2.59406	Src2	0	182	FullDelay	0.774061	774061	1	1
2.60483	Src1	0	204	LastDelay	0.564834	564834	1	1
2.60483	Src1	0	204	FullDelay	0.564834	564834	1	1
2.60606	Src1	0	187	LastDelay	0.736065	736065	1	1
2.60606	Src1	0	187	FullDelay	0.736065	736065	1	1
2.61683	Src1	0	205	LastDelay	0.566834	566834	1	1
2.61683	Src1	0	205	FullDelay	0.566834	566834	1	1
2.61923	Src2	0	188	LastDelay	0.73923	739230	1	1
2.61923	Src2	0	188	FullDelay	0.73923	739230	1	1
2.63003	Src2	0	205	LastDelay	0.580034	580034	1	1
2.63003	Src2	0	205	FullDelay	0.580034	580034	1	1
2.63126	Src2	0	189	LastDelay	0.741265	741265	1	1
2.63126	Src2	0	189	FullDelay	0.741265	741265	1	1
2.64203	Src1	0	206	LastDelay	0.582034	582034	1	1
2.64203	Src1	0	206	FullDelay	0.582034	582034	1	1
2.64323	Src2	0	190	LastDelay	0.74323	743230	1	1
2.64323	Src2	0	190	FullDelay	0.74323	743230	1	1
2.65403	Src1	0	207	LastDelay	0.584034	584034	1	1
2.65403	Src1	0	207	FullDelay	0.584034	584034	1	1
2.65526	Src1	0	192	LastDelay	0.735265	735265	1	1
2.65526	Src1	0	192	FullDelay	0.735265	735265	1	1
2.66723	Src2	0	208	LastDelay	0.587234	587234	1	1
2.66723	Src2	0	208	FullDelay	0.587234	587234	1	1
2.66846	Src2	0	193	LastDelay	0.738465	738465	1	1
2.66846	Src2	0	193	FullDelay	0.738465	738465	1	1
2.67923	Src1	0	209	LastDelay	0.589234	589234	1	1
2.67923	Src1	0	209	FullDelay	0.589234	589234	1	1
2.68043	Src2	0	195	LastDelay	0.73043	730430	1	1
2.68043	Src2	0	195	FullDelay	0.73043	730430	1	1
2.69243	Src1	0	195	LastDelay	0.74243	742430	1	1
2.69243	Src1	0	195	FullDelay	0.74243	742430	1	1
2.69366	Src1	0	212	LastDelay	0.573665	573665	1	1
2.69366	Src1	0	212	FullDelay	0.573665	573665	1	1
2.70443	Src1	0	199	LastDelay	0.71443	714430	1	1
2.70443	Src1	0	199	FullDelay	0.71443	714430	1	1
2.70563	Src2	0	212	LastDelay	0.585634	585634	1	1
2.70563	Src2	0	212	FullDelay	0.585634	585634	1	1
2.71763	Src2	0	198	LastDelay	0.73763	737630	1	1
2.71763	Src2	0	198	FullDelay	0.73763	737630	1	1
2.71886	Src2	0	213	LastDelay	0.588865	588865	1	1
2.71886	Src2	0	213	FullDelay	0.588865	588865	1	1
2.72963	Src1	0	198	LastDelay	0.74963	749630	1	1
2.72963	Src1	0	198	FullDelay	0.74963	749630	1	1
2.73086	Src1	0	215	LastDelay	0.580865	580865	1	1
2.73086	Src1	0	215	FullDelay	0.580865	580865	1	1
2.74163	Src2	0	197	LastDelay	0.77163	771630	1	1
2.74163	Src2	0	197	FullDelay	0.77163	771630	1	1
2.74283	Src1	0	216	LastDelay	0.582834	582834	1	1
